pothole_count,pothole_area_ratio,crack_area_ratio,damage_area_ratio,damage_severity,pothole_detected,crack_detected,avg_confidence,risk_level
0,0.0,0.036,0.036,0.305,0,1,87.9,Medium Risk
6,0.0346,0.0469,0.0815,0.657,1,1,92.1,High Risk
4,0.0509,0.0705,0.1214,0.611,1,1,91.3,High Risk
6,0.0726,0.1133,0.18,0.523,1,1,96.6,High Risk
9,0.073,0.0717,0.1447,0.685,1,1,96.2,High Risk
16,0.2085,0.1732,0.3817,0.922,1,1,92.2,Critical Risk
0,0.0,0.0129,0.0129,0.2,0,1,94.9,Medium Risk
0,0.0,0.0024,0.0,0.012,0,0,98.2,Low Risk
7,0.0543,0.0972,0.1515,0.707,1,1,93.4,High Risk
6,0.0277,0.081,0.1087,0.702,1,1,89.5,High Risk
22,0.3102,0.1749,0.4851,0.773,1,1,97.5,Critical Risk
14,0.2118,0.3386,0.5504,0.819,1,1,89.1,Critical Risk
0,0.0,0.0096,0.0096,0.165,0,1,95.4,Medium Risk
10,0.1086,0.3977,0.5063,0.881,1,1,97.8,Critical Risk
8,0.0681,0.1036,0.1717,0.594,1,1,89.5,High Risk
4,0.0259,0.0916,0.1175,0.526,1,1,92.1,High Risk
15,0.1419,0.1388,0.2807,0.895,1,1,94.6,Critical Risk
8,0.0436,0.1109,0.1545,0.708,1,1,95.4,High Risk
0,0.0,0.0428,0.0428,0.233,0,1,90.1,Medium Risk
0,0.0,0.0,0.0041,0.085,0,0,98.5,Low Risk
4,0.0507,0.0883,0.139,0.641,1,1,94.3,High Risk
0,0.0,0.0122,0.0122,0.184,0,1,92.8,Medium Risk
5,0.0254,0.0531,0.0785,0.686,1,1,94.1,High Risk
0,0.0,0.0193,0.0193,0.405,0,1,95.5,Medium Risk
2,0.0094,0.0314,0.0408,0.176,1,1,87.3,Medium Risk
0,0.0,0.0001,0.0006,0.006,0,0,95.2,Low Risk
0,0.0,0.0001,0.0046,0.051,0,0,99.6,Low Risk
5,0.0373,0.0923,0.1296,0.508,1,1,91.0,High Risk
0,0.0,0.0382,0.0382,0.223,0,1,88.1,Medium Risk
3,0.0119,0.0083,0.0202,0.389,1,1,87.2,Medium Risk
2,0.0209,0.0284,0.0493,0.172,1,1,92.0,Medium Risk
0,0.0,0.0423,0.0423,0.177,0,1,94.9,Medium Risk
0,0.0,0.0351,0.0351,0.314,0,1,87.2,Medium Risk
1,0.0219,0.0263,0.0482,0.295,1,1,91.6,Medium Risk
0,0.0,0.0022,0.0009,0.116,0,0,98.7,Low Risk
0,0.0,0.0008,0.0008,0.02,0,0,98.9,Low Risk
0,0.0,0.0301,0.0301,0.349,0,1,90.2,Medium Risk
29,0.2632,0.3513,0.6145,0.915,1,1,95.7,Critical Risk
8,0.0827,0.0947,0.1774,0.701,1,1,94.8,High Risk
0,0.0,0.0033,0.002,0.08,0,0,96.0,Low Risk
8,0.06,0.1124,0.1724,0.603,1,1,90.0,High Risk
20,0.3086,0.211,0.5196,0.919,1,1,97.5,Critical Risk
6,0.0472,0.1196,0.1668,0.675,1,1,94.3,High Risk
8,0.0367,0.0496,0.0863,0.549,1,1,90.4,High Risk
6,0.0589,0.1143,0.1732,0.609,1,1,96.2,High Risk
5,0.0791,0.1152,0.18,0.713,1,1,88.2,High Risk
0,0.0,0.0003,0.0049,0.039,0,0,98.9,Low Risk
6,0.0627,0.0648,0.1275,0.502,1,1,89.7,High Risk
8,0.0364,0.0916,0.128,0.513,1,1,92.7,High Risk
4,0.0672,0.0453,0.1125,0.503,1,1,94.4,High Risk
13,0.3016,0.3805,0.65,0.765,1,1,90.9,Critical Risk
2,0.0052,0.0337,0.0389,0.435,1,1,88.3,Medium Risk
0,0.0,0.0023,0.0037,0.052,0,0,95.6,Low Risk
0,0.0,0.0011,0.003,0.043,0,0,95.4,Low Risk
6,0.0383,0.0481,0.0864,0.469,1,1,89.6,High Risk
30,0.3145,0.201,0.5155,0.862,1,1,93.1,Critical Risk
5,0.0373,0.0755,0.1128,0.715,1,1,95.1,High Risk
2,0.0241,0.0145,0.0386,0.353,1,1,87.9,Medium Risk
1,0.0179,0.0363,0.0542,0.234,1,1,86.2,Medium Risk
0,0.0,0.0031,0.0011,0.075,0,0,95.4,Low Risk
0,0.0,0.0017,0.0045,0.013,0,0,97.4,Low Risk
7,0.0607,0.0458,0.1065,0.581,1,1,96.7,High Risk
19,0.3357,0.3558,0.65,0.817,1,1,86.0,Critical Risk
1,0.0237,0.0404,0.0641,0.238,1,1,94.1,Medium Risk
0,0.0,0.0012,0.0016,0.081,0,0,98.6,Low Risk
0,0.0,0.0,0.0023,0.007,0,0,95.6,Low Risk
3,0.0149,0.0308,0.0457,0.204,1,1,86.4,Medium Risk
6,0.0695,0.0874,0.1569,0.676,1,1,96.9,High Risk
1,0.0051,0.0235,0.0286,0.233,1,1,92.9,Medium Risk
1,0.0048,0.0356,0.0404,0.345,1,1,93.6,Medium Risk
0,0.0,0.0008,0.0003,0.012,0,0,95.1,Low Risk
18,0.1515,0.1537,0.3052,0.892,1,1,97.6,Critical Risk
0,0.0,0.0001,0.0029,0.113,0,0,97.8,Low Risk
0,0.0,0.02,0.02,0.432,0,1,91.5,Medium Risk
25,0.1634,0.1916,0.355,0.825,1,1,87.1,Critical Risk
25,0.1598,0.2035,0.3633,0.812,1,1,95.0,Critical Risk
23,0.3191,0.2362,0.5553,0.841,1,1,93.6,Critical Risk
8,0.0489,0.0692,0.1181,0.477,1,1,90.1,High Risk
7,0.0693,0.0703,0.1396,0.628,1,1,91.6,High Risk
7,0.0636,0.1098,0.1734,0.706,1,1,91.0,High Risk
0,0.0,0.0034,0.0001,0.098,0,0,96.4,Low Risk
0,0.0,0.001,0.0033,0.037,0,0,97.5,Low Risk
0,0.0,0.0311,0.0311,0.308,0,1,90.0,Medium Risk
7,0.0508,0.0564,0.1072,0.691,1,1,91.1,High Risk
0,0.0,0.002,0.0011,0.077,0,0,95.8,Low Risk
0,0.0,0.0002,0.003,0.081,0,0,95.1,Low Risk
2,0.0071,0.0246,0.0317,0.325,1,1,95.0,Medium Risk
0,0.0,0.0007,0.0014,0.021,0,0,99.3,Low Risk
1,0.0091,0.0085,0.0176,0.291,1,1,88.9,Medium Risk
24,0.2254,0.1652,0.3906,0.889,1,1,95.5,Critical Risk
7,0.0819,0.0475,0.1294,0.651,1,1,91.0,High Risk
13,0.3475,0.3319,0.65,0.855,1,1,94.2,Critical Risk
0,0.0,0.0004,0.0045,0.061,0,0,99.0,Low Risk
1,0.0164,0.0268,0.0432,0.243,1,1,91.4,Medium Risk
0,0.0,0.0019,0.0021,0.042,0,0,99.5,Low Risk
3,0.0216,0.0222,0.0438,0.32,1,1,91.6,Medium Risk
0,0.0,0.0126,0.0126,0.293,0,1,87.1,Medium Risk
13,0.3431,0.2724,0.6155,0.812,1,1,94.2,Critical Risk
27,0.097,0.3038,0.4008,0.879,1,1,86.1,Critical Risk
4,0.0343,0.1206,0.1549,0.651,1,1,95.9,High Risk
0,0.0,0.001,0.0034,0.091,0,0,97.9,Low Risk
1,0.0147,0.0449,0.0596,0.388,1,1,91.8,Medium Risk
29,0.2349,0.264,0.4989,0.762,1,1,92.1,Critical Risk
17,0.2331,0.2239,0.457,0.944,1,1,88.3,Critical Risk
15,0.3029,0.3728,0.65,0.876,1,1,90.9,Critical Risk
9,0.0836,0.0532,0.1368,0.462,1,1,91.9,High Risk
3,0.0248,0.0395,0.0643,0.218,1,1,94.8,Medium Risk
24,0.2435,0.2278,0.4713,0.962,1,1,97.4,Critical Risk
12,0.2364,0.2051,0.4415,0.823,1,1,97.5,Critical Risk
2,0.0192,0.0104,0.0296,0.248,1,1,91.1,Medium Risk
6,0.0331,0.0529,0.086,0.514,1,1,96.3,High Risk
2,0.0185,0.0227,0.0412,0.294,1,1,92.5,Medium Risk
0,0.0,0.0016,0.0014,0.099,0,0,96.7,Low Risk
0,0.0,0.0439,0.0439,0.211,0,1,94.1,Medium Risk
11,0.1756,0.2677,0.4433,0.795,1,1,97.9,Critical Risk
0,0.0,0.0004,0.0012,0.087,0,0,99.1,Low Risk
0,0.0,0.0033,0.0048,0.015,0,0,98.5,Low Risk
18,0.1334,0.2093,0.3427,0.848,1,1,96.8,Critical Risk
0,0.0,0.0035,0.0024,0.014,0,0,98.4,Low Risk
0,0.0,0.0194,0.0194,0.385,0,1,91.1,Medium Risk
7,0.0423,0.0695,0.1118,0.552,1,1,93.6,High Risk
12,0.3494,0.1735,0.5229,0.86,1,1,90.6,Critical Risk
3,0.0185,0.039,0.0575,0.424,1,1,92.5,Medium Risk
0,0.0,0.0362,0.0362,0.17,0,1,93.1,Medium Risk
9,0.057,0.1146,0.1716,0.494,1,1,95.1,High Risk
28,0.2596,0.269,0.5286,0.767,1,1,87.2,Critical Risk
0,0.0,0.0005,0.0046,0.104,0,0,97.5,Low Risk
4,0.0707,0.0747,0.1454,0.562,1,1,94.8,High Risk
0,0.0,0.0004,0.0034,0.009,0,0,96.5,Low Risk
4,0.0758,0.1164,0.18,0.476,1,1,96.0,High Risk
0,0.0,0.0035,0.0046,0.061,0,0,97.4,Low Risk
6,0.0463,0.1009,0.1472,0.563,1,1,96.6,High Risk
0,0.0,0.0186,0.0186,0.333,0,1,95.3,Medium Risk
27,0.3424,0.2774,0.6198,0.926,1,1,85.9,Critical Risk
0,0.0,0.0246,0.0246,0.362,0,1,94.4,Medium Risk
0,0.0,0.0025,0.0004,0.105,0,0,99.4,Low Risk
0,0.0,0.0002,0.0027,0.065,0,0,98.1,Low Risk
7,0.0684,0.0975,0.1659,0.644,1,1,88.1,High Risk
0,0.0,0.0388,0.0388,0.236,0,1,90.9,Medium Risk
0,0.0,0.0025,0.0017,0.017,0,0,98.8,Low Risk
0,0.0,0.0227,0.0227,0.372,0,1,92.6,Medium Risk
0,0.0,0.0008,0.0001,0.016,0,0,99.3,Low Risk
0,0.0,0.0332,0.0332,0.207,0,1,92.2,Medium Risk
0,0.0,0.0009,0.0048,0.001,0,0,99.7,Low Risk
13,0.2926,0.1976,0.4902,0.985,1,1,86.6,Critical Risk
4,0.0255,0.0625,0.088,0.47,1,1,89.0,High Risk
30,0.1989,0.3527,0.5516,0.771,1,1,94.6,Critical Risk
5,0.0377,0.0976,0.1353,0.583,1,1,95.9,High Risk
0,0.0,0.0027,0.0008,0.109,0,0,98.9,Low Risk
0,0.0,0.0038,0.0019,0.034,0,0,99.2,Low Risk
2,0.0134,0.0286,0.042,0.206,1,1,91.8,Medium Risk
6,0.0563,0.0505,0.1068,0.556,1,1,96.3,High Risk
0,0.0,0.0036,0.0032,0.095,0,0,97.4,Low Risk
29,0.2298,0.2368,0.4666,0.782,1,1,87.2,Critical Risk
31,0.2616,0.3969,0.65,0.799,1,1,90.1,Critical Risk
1,0.0185,0.0447,0.0632,0.196,1,1,87.0,Medium Risk
3,0.0088,0.0387,0.0475,0.194,1,1,86.4,Medium Risk
0,0.0,0.001,0.0033,0.098,0,0,97.7,Low Risk
0,0.0,0.0107,0.0107,0.329,0,1,92.3,Medium Risk
0,0.0,0.0028,0.0027,0.03,0,0,96.7,Low Risk
17,0.298,0.1434,0.4414,0.84,1,1,89.9,Critical Risk
17,0.1635,0.3827,0.5462,0.953,1,1,97.8,Critical Risk
6,0.051,0.1069,0.1579,0.682,1,1,92.9,High Risk
1,0.0063,0.0211,0.0274,0.24,1,1,88.8,Medium Risk
1,0.0076,0.0316,0.0392,0.299,1,1,87.7,Medium Risk
5,0.0664,0.0565,0.1229,0.615,1,1,89.5,High Risk
2,0.0101,0.0337,0.0438,0.401,1,1,93.4,Medium Risk
1,0.0214,0.04,0.0614,0.375,1,1,87.1,Medium Risk
10,0.0909,0.3968,0.4877,0.751,1,1,97.6,Critical Risk
0,0.0,0.0027,0.0009,0.023,0,0,95.2,Low Risk
0,0.0,0.0023,0.0004,0.117,0,0,99.7,Low Risk
18,0.3342,0.1244,0.4586,0.876,1,1,91.1,Critical Risk
0,0.0,0.0026,0.0004,0.019,0,0,99.3,Low Risk
1,0.0081,0.0083,0.0164,0.341,1,1,94.5,Medium Risk
20,0.3345,0.2683,0.6028,0.93,1,1,97.0,Critical Risk
0,0.0,0.0036,0.0017,0.062,0,0,98.8,Low Risk
3,0.0062,0.0323,0.0385,0.39,1,1,89.6,Medium Risk
2,0.0092,0.013,0.0222,0.277,1,1,93.5,Medium Risk
9,0.0763,0.0932,0.1695,0.677,1,1,95.1,High Risk
2,0.0222,0.0294,0.0516,0.283,1,1,92.9,Medium Risk
0,0.0,0.0031,0.0004,0.043,0,0,95.6,Low Risk
26,0.1409,0.2758,0.4167,0.963,1,1,95.9,Critical Risk
23,0.2559,0.1844,0.4403,0.884,1,1,89.8,Critical Risk
20,0.2974,0.2298,0.5272,0.935,1,1,86.6,Critical Risk
3,0.0144,0.0223,0.0367,0.286,1,1,88.2,Medium Risk
4,0.0334,0.0838,0.1172,0.467,1,1,92.5,High Risk
4,0.0381,0.0817,0.1198,0.699,1,1,89.6,High Risk
0,0.0,0.0006,0.0024,0.118,0,0,96.2,Low Risk
0,0.0,0.0021,0.0003,0.04,0,0,95.6,Low Risk
0,0.0,0.0013,0.0039,0.013,0,0,95.4,Low Risk
26,0.097,0.181,0.278,0.744,1,1,92.6,Critical Risk
4,0.0508,0.1152,0.166,0.617,1,1,90.2,High Risk
26,0.287,0.1309,0.4179,0.958,1,1,93.1,Critical Risk
19,0.0867,0.3939,0.4806,0.991,1,1,90.1,Critical Risk
0,0.0,0.0002,0.0014,0.097,0,0,98.6,Low Risk
0,0.0,0.0146,0.0146,0.371,0,1,93.5,Medium Risk
8,0.0455,0.1041,0.1496,0.518,1,1,93.8,High Risk
4,0.055,0.1086,0.1636,0.644,1,1,88.5,High Risk
6,0.0607,0.0662,0.1269,0.632,1,1,95.3,High Risk
0,0.0,0.0003,0.0049,0.093,0,0,96.0,Low Risk
0,0.0,0.0038,0.0036,0.074,0,0,97.0,Low Risk
0,0.0,0.0213,0.0213,0.267,0,1,90.4,Medium Risk
3,0.0136,0.0273,0.0409,0.34,1,1,92.2,Medium Risk
8,0.0818,0.0847,0.1665,0.559,1,1,89.5,High Risk
27,0.3309,0.1455,0.4764,0.814,1,1,93.7,Critical Risk
0,0.0,0.0006,0.0016,0.03,0,0,98.6,Low Risk
0,0.0,0.0005,0.0032,0.09,0,0,97.8,Low Risk
9,0.0578,0.0796,0.1374,0.471,1,1,89.5,High Risk
5,0.0612,0.0829,0.1441,0.476,1,1,94.0,High Risk
0,0.0,0.0038,0.0009,0.008,0,0,98.6,Low Risk
0,0.0,0.0301,0.0301,0.33,0,1,88.4,Medium Risk
21,0.2159,0.3611,0.577,0.86,1,1,97.2,Critical Risk
5,0.0463,0.0534,0.0997,0.518,1,1,92.7,High Risk
4,0.0541,0.0717,0.1258,0.666,1,1,92.1,High Risk
6,0.0784,0.0517,0.1301,0.67,1,1,95.8,High Risk
22,0.1445,0.1394,0.2839,0.955,1,1,88.3,Critical Risk
7,0.0688,0.1156,0.18,0.634,1,1,90.3,High Risk
15,0.1092,0.2092,0.3184,0.767,1,1,86.7,Critical Risk
0,0.0,0.0014,0.0006,0.111,0,0,99.2,Low Risk
23,0.1163,0.12,0.2363,0.925,1,1,89.6,Critical Risk
0,0.0,0.0001,0.0013,0.086,0,0,99.3,Low Risk
12,0.1463,0.2607,0.407,0.93,1,1,97.5,Critical Risk
0,0.0,0.0037,0.0028,0.069,0,0,96.3,Low Risk
0,0.0,0.0011,0.0027,0.017,0,0,98.9,Low Risk
6,0.0518,0.0829,0.1347,0.614,1,1,92.8,High Risk
0,0.0,0.0036,0.0032,0.041,0,0,96.7,Low Risk
22,0.1445,0.2318,0.3763,0.847,1,1,97.7,Critical Risk
27,0.1306,0.3661,0.4967,0.885,1,1,96.3,Critical Risk
8,0.0457,0.0856,0.1313,0.687,1,1,92.4,High Risk
30,0.1947,0.3882,0.5829,0.881,1,1,92.9,Critical Risk
2,0.012,0.044,0.056,0.254,1,1,88.8,Medium Risk
0,0.0,0.0383,0.0383,0.393,0,1,90.8,Medium Risk
8,0.0513,0.1234,0.1747,0.593,1,1,89.0,High Risk
29,0.2301,0.3255,0.5556,0.83,1,1,90.3,Critical Risk
0,0.0,0.0008,0.0001,0.022,0,0,97.8,Low Risk
0,0.0,0.0036,0.0012,0.049,0,0,98.6,Low Risk
14,0.2874,0.2666,0.554,0.799,1,1,93.7,Critical Risk
1,0.0175,0.0104,0.0279,0.322,1,1,91.3,Medium Risk
31,0.1428,0.3819,0.5247,0.861,1,1,90.8,Critical Risk
1,0.006,0.0311,0.0371,0.286,1,1,91.6,Medium Risk
0,0.0,0.0012,0.0047,0.092,0,0,95.7,Low Risk
0,0.0,0.0002,0.0014,0.109,0,0,96.1,Low Risk
28,0.1728,0.3345,0.5073,0.848,1,1,93.5,Critical Risk
2,0.0116,0.0448,0.0564,0.285,1,1,89.2,Medium Risk
1,0.0046,0.0104,0.015,0.29,1,1,94.6,Medium Risk
15,0.2781,0.2083,0.4864,0.842,1,1,88.1,Critical Risk
25,0.0961,0.2374,0.3335,0.784,1,1,96.4,Critical Risk
5,0.0747,0.1081,0.18,0.54,1,1,96.2,High Risk
24,0.3033,0.2277,0.531,0.859,1,1,88.9,Critical Risk
0,0.0,0.0009,0.0036,0.086,0,0,98.1,Low Risk
16,0.2788,0.3509,0.6297,0.778,1,1,95.8,Critical Risk
25,0.2022,0.3432,0.5454,0.928,1,1,94.0,Critical Risk
6,0.0748,0.1153,0.18,0.609,1,1,92.7,High Risk
27,0.173,0.3389,0.5119,0.854,1,1,93.2,Critical Risk
27,0.2336,0.3839,0.6175,0.762,1,1,88.3,Critical Risk
4,0.025,0.0859,0.1109,0.472,1,1,90.5,High Risk
29,0.1324,0.3433,0.4757,0.916,1,1,92.1,Critical Risk
0,0.0,0.0032,0.0025,0.01,0,0,97.6,Low Risk
11,0.1693,0.3704,0.5397,0.908,1,1,88.7,Critical Risk
0,0.0,0.002,0.0035,0.005,0,0,98.8,Low Risk
11,0.2865,0.2636,0.5501,0.923,1,1,97.2,Critical Risk
13,0.1555,0.2132,0.3687,0.885,1,1,94.2,Critical Risk
12,0.3337,0.2361,0.5698,0.845,1,1,90.1,Critical Risk
0,0.0,0.0033,0.0047,0.118,0,0,98.6,Low Risk
0,0.0,0.0017,0.0045,0.098,0,0,96.6,Low Risk
4,0.0741,0.049,0.1231,0.697,1,1,88.3,High Risk
0,0.0,0.0038,0.0029,0.076,0,0,97.2,Low Risk
3,0.0225,0.0176,0.0401,0.312,1,1,92.0,Medium Risk
2,0.0169,0.0429,0.0598,0.227,1,1,87.2,Medium Risk
20,0.3324,0.3444,0.65,0.915,1,1,85.1,Critical Risk
8,0.036,0.0673,0.1033,0.494,1,1,94.1,High Risk
31,0.2134,0.2047,0.4181,0.886,1,1,95.4,Critical Risk
5,0.0358,0.1227,0.1585,0.489,1,1,91.6,High Risk
0,0.0,0.0003,0.0028,0.116,0,0,97.5,Low Risk
0,0.0,0.0026,0.0011,0.085,0,0,96.1,Low Risk
0,0.0,0.0005,0.0023,0.025,0,0,96.7,Low Risk
0,0.0,0.0127,0.0127,0.402,0,1,88.3,Medium Risk
27,0.2389,0.3821,0.621,0.915,1,1,91.3,Critical Risk
0,0.0,0.003,0.0023,0.027,0,0,97.2,Low Risk
7,0.0481,0.047,0.0951,0.678,1,1,88.1,High Risk
11,0.0937,0.2532,0.3469,0.846,1,1,87.1,Critical Risk
18,0.1035,0.2753,0.3788,0.934,1,1,95.5,Critical Risk
0,0.0,0.0003,0.0047,0.116,0,0,98.9,Low Risk
23,0.3275,0.173,0.5005,0.98,1,1,94.0,Critical Risk
0,0.0,0.0011,0.0002,0.073,0,0,97.4,Low Risk
0,0.0,0.0171,0.0171,0.414,0,1,88.4,Medium Risk
6,0.0627,0.0835,0.1462,0.554,1,1,96.5,High Risk
3,0.0157,0.0255,0.0412,0.248,1,1,87.1,Medium Risk
1,0.0071,0.0252,0.0323,0.351,1,1,89.8,Medium Risk
9,0.0499,0.1161,0.166,0.674,1,1,93.7,High Risk
6,0.0732,0.1193,0.18,0.565,1,1,96.2,High Risk
5,0.0704,0.0579,0.1283,0.584,1,1,94.5,High Risk
5,0.0714,0.0889,0.1603,0.477,1,1,94.9,High Risk
17,0.1097,0.3899,0.4996,0.775,1,1,87.0,Critical Risk
0,0.0,0.0114,0.0114,0.254,0,1,91.0,Medium Risk
8,0.0416,0.1235,0.1651,0.597,1,1,96.2,High Risk
1,0.0107,0.0348,0.0455,0.369,1,1,87.9,Medium Risk
2,0.018,0.0084,0.0264,0.232,1,1,88.5,Medium Risk
0,0.0,0.0007,0.0014,0.021,0,0,95.4,Low Risk
12,0.2969,0.1545,0.4514,0.922,1,1,90.4,Critical Risk
8,0.0526,0.0526,0.1052,0.675,1,1,88.4,High Risk
10,0.2154,0.1746,0.39,0.91,1,1,95.2,Critical Risk
7,0.0794,0.0556,0.135,0.614,1,1,93.4,High Risk
29,0.2033,0.2933,0.4966,0.913,1,1,91.5,Critical Risk
3,0.0099,0.0318,0.0417,0.354,1,1,90.9,Medium Risk
0,0.0,0.0005,0.0008,0.017,0,0,98.1,Low Risk
0,0.0,0.0025,0.0012,0.009,0,0,95.6,Low Risk
4,0.0617,0.1136,0.1753,0.635,1,1,91.7,High Risk
31,0.2087,0.1415,0.3502,0.783,1,1,85.8,Critical Risk
5,0.0554,0.06,0.1154,0.48,1,1,94.3,High Risk
5,0.062,0.1125,0.1745,0.485,1,1,93.0,High Risk
0,0.0,0.0246,0.0246,0.227,0,1,89.5,Medium Risk
1,0.013,0.0132,0.0262,0.346,1,1,88.1,Medium Risk
2,0.006,0.023,0.029,0.326,1,1,91.5,Medium Risk
0,0.0,0.0009,0.0045,0.046,0,0,97.6,Low Risk
0,0.0,0.0011,0.0009,0.056,0,0,96.7,Low Risk
25,0.1919,0.3307,0.5226,0.878,1,1,93.8,Critical Risk
5,0.0637,0.0899,0.1536,0.662,1,1,89.8,High Risk
0,0.0,0.0016,0.0031,0.103,0,0,99.6,Low Risk
30,0.0918,0.2749,0.3667,0.875,1,1,97.9,Critical Risk
0,0.0,0.0018,0.0047,0.018,0,0,97.8,Low Risk
5,0.0367,0.0563,0.093,0.622,1,1,95.0,High Risk
2,0.0154,0.04,0.0554,0.365,1,1,91.0,Medium Risk
0,0.0,0.0396,0.0396,0.308,0,1,93.8,Medium Risk
3,0.0069,0.0278,0.0347,0.22,1,1,86.1,Medium Risk
0,0.0,0.0038,0.0045,0.055,0,0,98.0,Low Risk
0,0.0,0.0027,0.0026,0.043,0,0,99.2,Low Risk
0,0.0,0.0018,0.0006,0.118,0,0,99.0,Low Risk
2,0.0142,0.0302,0.0444,0.329,1,1,86.2,Medium Risk
0,0.0,0.0029,0.0025,0.083,0,0,97.1,Low Risk
0,0.0,0.0435,0.0435,0.294,0,1,94.5,Medium Risk
26,0.1132,0.152,0.2652,0.985,1,1,96.3,Critical Risk
20,0.2052,0.2474,0.4526,0.918,1,1,96.8,Critical Risk
15,0.2664,0.3728,0.6392,0.958,1,1,86.7,Critical Risk
18,0.0934,0.339,0.4324,0.802,1,1,86.9,Critical Risk
25,0.1384,0.3816,0.52,0.919,1,1,95.7,Critical Risk
0,0.0,0.0015,0.0041,0.118,0,0,95.7,Low Risk
5,0.0786,0.0786,0.1572,0.663,1,1,92.3,High Risk
3,0.0096,0.0319,0.0415,0.3,1,1,88.5,Medium Risk
22,0.177,0.2732,0.4502,0.998,1,1,93.6,Critical Risk
25,0.1845,0.344,0.5285,0.97,1,1,86.6,Critical Risk
7,0.0367,0.1162,0.1529,0.655,1,1,96.2,High Risk
10,0.1685,0.1471,0.3156,0.786,1,1,97.8,Critical Risk
0,0.0,0.0029,0.0033,0.003,0,0,96.1,Low Risk
7,0.0666,0.1067,0.1733,0.63,1,1,89.4,High Risk
10,0.1698,0.2534,0.4232,0.823,1,1,91.4,Critical Risk
20,0.1805,0.3394,0.5199,0.887,1,1,89.1,Critical Risk
20,0.204,0.1865,0.3905,0.753,1,1,94.4,Critical Risk
22,0.2635,0.3349,0.5984,0.82,1,1,91.4,Critical Risk
9,0.0634,0.0983,0.1617,0.502,1,1,93.1,High Risk
24,0.3157,0.1434,0.4591,0.795,1,1,94.8,Critical Risk
23,0.0991,0.2473,0.3464,0.915,1,1,93.8,Critical Risk
0,0.0,0.0137,0.0137,0.223,0,1,95.1,Medium Risk
31,0.1366,0.3469,0.4835,0.811,1,1,94.5,Critical Risk
4,0.0274,0.0933,0.1207,0.696,1,1,90.1,High Risk
2,0.0169,0.0142,0.0311,0.438,1,1,88.2,Medium Risk
21,0.1573,0.2156,0.3729,0.857,1,1,96.9,Critical Risk
0,0.0,0.0201,0.0201,0.282,0,1,86.8,Medium Risk
1,0.0099,0.0403,0.0502,0.192,1,1,92.7,Medium Risk
0,0.0,0.0015,0.0004,0.093,0,0,97.7,Low Risk
9,0.0821,0.1121,0.18,0.669,1,1,95.4,High Risk
0,0.0,0.0025,0.0013,0.017,0,0,99.0,Low Risk
21,0.1681,0.1894,0.3575,0.921,1,1,89.7,Critical Risk
7,0.0825,0.1204,0.18,0.664,1,1,96.9,High Risk
5,0.0815,0.1182,0.18,0.463,1,1,92.1,High Risk
3,0.0152,0.02,0.0352,0.253,1,1,92.4,Medium Risk
22,0.1943,0.1748,0.3691,0.873,1,1,86.7,Critical Risk
12,0.0894,0.3102,0.3996,0.76,1,1,90.5,Critical Risk
0,0.0,0.0039,0.0026,0.021,0,0,96.3,Low Risk
19,0.1682,0.2706,0.4388,0.958,1,1,97.9,Critical Risk
9,0.0291,0.0794,0.1085,0.641,1,1,92.1,High Risk
3,0.0177,0.0154,0.0331,0.35,1,1,86.7,Medium Risk
9,0.0325,0.072,0.1045,0.72,1,1,91.7,High Risk
0,0.0,0.0093,0.0093,0.302,0,1,89.7,Medium Risk
29,0.2129,0.3377,0.5506,0.915,1,1,94.4,Critical Risk
8,0.0683,0.0758,0.1441,0.587,1,1,91.9,High Risk
1,0.015,0.0126,0.0276,0.401,1,1,93.6,Medium Risk
1,0.0195,0.0272,0.0467,0.28,1,1,94.3,Medium Risk
7,0.0527,0.1237,0.1764,0.665,1,1,95.0,High Risk
7,0.0357,0.0862,0.1219,0.67,1,1,90.3,High Risk
8,0.0401,0.0901,0.1302,0.553,1,1,93.9,High Risk
3,0.0213,0.0128,0.0341,0.254,1,1,93.1,Medium Risk
2,0.0129,0.0384,0.0513,0.16,1,1,88.9,Medium Risk
0,0.0,0.0382,0.0382,0.267,0,1,94.3,Medium Risk
0,0.0,0.0012,0.0045,0.002,0,0,95.4,Low Risk
28,0.2508,0.2801,0.5309,0.788,1,1,85.8,Critical Risk
28,0.2192,0.2181,0.4373,0.977,1,1,89.4,Critical Risk
1,0.0173,0.0375,0.0548,0.271,1,1,94.7,Medium Risk
1,0.0108,0.0216,0.0324,0.271,1,1,92.6,Medium Risk
7,0.0516,0.0936,0.1452,0.624,1,1,93.3,High Risk
9,0.0374,0.0507,0.0881,0.478,1,1,96.5,High Risk
20,0.2408,0.2085,0.4493,0.903,1,1,95.5,Critical Risk
22,0.2881,0.3166,0.6047,0.826,1,1,93.8,Critical Risk
14,0.2604,0.2974,0.5578,0.894,1,1,85.2,Critical Risk
7,0.0821,0.1246,0.18,0.645,1,1,96.8,High Risk
15,0.3349,0.1864,0.5213,0.768,1,1,95.0,Critical Risk
30,0.097,0.301,0.398,0.799,1,1,93.7,Critical Risk
8,0.0512,0.1156,0.1668,0.473,1,1,89.7,High Risk
26,0.2568,0.1848,0.4416,0.917,1,1,97.2,Critical Risk
9,0.0524,0.0805,0.1329,0.617,1,1,93.3,High Risk
12,0.1864,0.355,0.5414,0.778,1,1,91.6,Critical Risk
