road_name,state,district,city,pothole_count,average_pothole_depth,total_crack_length,pavement_age,road_length,traffic_density,rainfall,risk_level,provenance
Mumbai Survey Corridor R-0871,Maharashtra,Mumbai Suburban,Mumbai,1,0.7,8.6,0.5,1.6,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0164,Maharashtra,Pune,Pune,3,2.8,47.0,9.5,12.0,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0330,Karnataka,Mysuru,Mysuru,31,17.9,137.7,17.5,27.7,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0214,Telangana,Hyderabad,Hyderabad,23,5.1,37.2,10.9,34.4,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0263,Delhi,South Delhi,Delhi NCR,8,3.6,30.3,4.0,23.9,Medium,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0738,Karnataka,Mysuru,Mysuru,20,14.2,129.3,12.3,16.9,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1194,Karnataka,Mysuru,Mysuru,42,11.3,113.5,17.1,16.6,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0404,Maharashtra,Pune,Pune,1,2.7,99.1,13.9,1.6,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0334,Telangana,Hyderabad,Hyderabad,34,5.4,78.1,12.4,11.0,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0570,Karnataka,Mysuru,Mysuru,32,9.3,88.5,10.1,3.6,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0379,Maharashtra,Mumbai Suburban,Mumbai,1,1.0,1.8,2.7,30.9,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0566,Tamil Nadu,Chennai,Chennai,3,2.0,118.0,6.1,1.3,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0618,Karnataka,Mysuru,Mysuru,18,12.9,62.5,12.1,2.1,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0683,Delhi,South Delhi,Delhi NCR,4,3.1,19.7,3.6,33.0,Low,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0772,Tamil Nadu,Madurai,Madurai,31,11.6,41.9,11.1,16.9,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0742,Telangana,Hyderabad,Hyderabad,12,10.9,66.9,12.3,21.5,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0619,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,5.0,0.3,23.7,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0756,Andhra Pradesh,Visakhapatnam,Visakhapatnam,33,17.1,127.0,11.0,5.3,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0298,Telangana,Hyderabad,Hyderabad,34,11.8,40.9,11.3,28.0,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0474,Karnataka,Mysuru,Mysuru,41,11.6,105.1,11.0,32.2,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0589,Tamil Nadu,Coimbatore,Coimbatore,1,1.0,1.5,0.4,1.7,High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0261,Kerala,Ernakulam,Kochi,3,11.2,19.4,7.8,1.6,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0545,Karnataka,Bengaluru Urban,Bengaluru,6,4.5,25.0,6.5,19.2,Very High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0670,Telangana,Hyderabad,Hyderabad,26,6.4,21.5,9.6,9.1,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0873,Kerala,Ernakulam,Kochi,4,11.4,6.8,4.6,13.4,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0305,Karnataka,Bengaluru Urban,Bengaluru,6,5.8,15.0,7.1,13.9,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
PMGSY Nelamangala - Doddaballapura Agricultural Link,Karnataka,Bengaluru Rural,Nelamangala,19,9.5,72.0,9.8,15.2,Medium,Moderate,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Kukatpally Housing Board (KPHB) - Miyapur Arterial,Telangana,Medchal-Malkajgiri,Hyderabad,20,11.5,79.0,11.8,7.2,Very High,Heavy,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Chennai Survey Corridor R-0182,Tamil Nadu,Chennai,Chennai,3,2.9,35.4,6.1,11.7,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0783,Tamil Nadu,Salem,Salem,2,8.3,15.9,3.7,5.0,Very High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0076,Tamil Nadu,Madurai,Madurai,26,5.7,25.5,10.8,19.8,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0250,Telangana,Hyderabad,Hyderabad,19,12.5,34.1,12.2,14.8,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0990,Karnataka,Mysuru,Mysuru,29,13.6,122.3,14.2,22.8,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0611,Delhi,South Delhi,Delhi NCR,7,4.7,16.1,5.4,25.4,Medium,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0747,Tamil Nadu,Salem,Salem,5,9.7,8.7,7.9,4.9,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-1051,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,3.9,1.4,11.6,Low,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-1192,Tamil Nadu,Madurai,Madurai,27,11.1,74.5,11.8,26.0,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0494,Tamil Nadu,Chennai,Chennai,0,0.0,79.3,15.7,5.3,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mettupalayam Road (Thudiyalur - Saibaba Colony Sector),Tamil Nadu,Coimbatore,Coimbatore,17,8.5,64.0,9.2,11.0,High,Heavy,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Salem Survey Corridor R-0051,Tamil Nadu,Salem,Salem,2,13.0,10.8,3.5,14.5,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0601,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,3.5,2.4,31.7,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1112,Maharashtra,Pune,Pune,3,2.0,55.2,10.4,10.7,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0736,Tamil Nadu,Madurai,Madurai,34,11.6,41.6,11.4,10.2,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0850,Telangana,Hyderabad,Hyderabad,18,8.5,30.1,12.7,19.7,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0825,Kerala,Ernakulam,Kochi,5,11.3,20.6,9.3,7.7,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0475,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,1.4,2.7,29.0,High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1002,Karnataka,Mysuru,Mysuru,29,13.8,96.6,13.2,15.7,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0254,Tamil Nadu,Chennai,Chennai,2,1.8,85.9,9.4,9.1,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1104,Andhra Pradesh,Visakhapatnam,Visakhapatnam,43,15.3,120.7,10.8,18.2,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0259,Maharashtra,Mumbai Suburban,Mumbai,2,0.2,2.1,0.3,22.8,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0814,Telangana,Hyderabad,Hyderabad,28,13.6,73.4,11.2,16.6,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0434,Tamil Nadu,Chennai,Chennai,1,2.6,69.3,5.9,19.4,Medium,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Pollachi Road (Eachanari - Kinathukadavu Corridor),Tamil Nadu,Coimbatore,Coimbatore,8,4.2,28.0,6.0,18.5,High,Moderate,High Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Madurai Survey Corridor R-0040,Tamil Nadu,Madurai,Madurai,15,7.1,39.5,12.0,23.1,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0641,Karnataka,Bengaluru Urban,Bengaluru,9,5.5,13.6,4.7,3.3,High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0501,Kerala,Ernakulam,Kochi,4,12.5,28.3,4.4,25.7,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1068,Andhra Pradesh,Visakhapatnam,Visakhapatnam,19,10.5,136.8,16.8,30.4,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0576,Andhra Pradesh,Visakhapatnam,Visakhapatnam,19,14.7,79.9,15.6,15.5,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0838,Telangana,Hyderabad,Hyderabad,24,11.0,63.8,10.6,8.0,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0321,Kerala,Ernakulam,Kochi,2,14.4,33.8,6.4,4.7,Very High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0969,Kerala,Ernakulam,Kochi,4,15.1,31.8,5.4,21.9,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1128,Andhra Pradesh,Visakhapatnam,Visakhapatnam,23,13.7,104.9,11.4,7.7,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0167,Delhi,South Delhi,Delhi NCR,9,2.6,33.6,4.7,27.3,Low,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0353,Karnataka,Bengaluru Urban,Bengaluru,7,4.7,13.7,5.9,20.1,Very High,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0519,Tamil Nadu,Salem,Salem,2,11.9,24.1,3.6,2.1,High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0787,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,5.7,2.5,27.6,Low,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1020,Andhra Pradesh,Visakhapatnam,Visakhapatnam,19,13.2,134.3,15.1,11.6,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0006,Karnataka,Mysuru,Mysuru,37,14.3,63.7,14.9,6.8,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0007,Maharashtra,Mumbai Suburban,Mumbai,2,1.9,7.3,1.1,4.3,Very High,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0694,Telangana,Hyderabad,Hyderabad,19,7.7,76.3,12.5,34.4,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0151,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,8.3,1.2,12.8,Medium,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Poonamallee High Road (Koyambedu - Central Station),Tamil Nadu,Chennai,Chennai,21,11.8,84.0,12.0,9.5,Very High,Torrential,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Pune Survey Corridor R-0500,Maharashtra,Pune,Pune,3,2.9,115.1,13.6,34.7,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0651,Tamil Nadu,Salem,Salem,2,11.3,18.8,8.1,20.5,High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0239,Delhi,South Delhi,Delhi NCR,3,5.0,34.6,6.6,28.3,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0446,Tamil Nadu,Chennai,Chennai,3,2.9,75.6,10.9,6.7,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0778,Telangana,Hyderabad,Hyderabad,27,6.0,76.5,13.0,16.4,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-1198,Telangana,Hyderabad,Hyderabad,25,7.6,53.2,6.0,10.6,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0676,Tamil Nadu,Madurai,Madurai,28,10.9,31.5,8.4,22.1,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0866,Tamil Nadu,Chennai,Chennai,2,0.1,119.5,7.6,2.8,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-1135,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,3.2,2.4,28.3,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0365,Karnataka,Bengaluru Urban,Bengaluru,3,5.1,29.1,7.8,3.3,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0522,Karnataka,Mysuru,Mysuru,40,13.6,77.7,10.3,2.2,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0692,Maharashtra,Pune,Pune,2,2.9,53.2,5.7,21.2,Low,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-1117,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,8.9,0.9,23.9,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0725,Karnataka,Bengaluru Urban,Bengaluru,4,4.6,22.3,7.9,19.5,High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0564,Andhra Pradesh,Visakhapatnam,Visakhapatnam,19,12.4,64.0,15.0,14.1,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1029,Kerala,Ernakulam,Kochi,2,8.5,22.6,8.9,1.6,Very High,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0213,Kerala,Ernakulam,Kochi,5,10.7,27.3,4.1,28.8,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0387,Tamil Nadu,Salem,Salem,5,14.6,14.4,8.6,33.9,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0302,Tamil Nadu,Chennai,Chennai,0,0.0,54.3,8.8,14.0,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0177,Kerala,Ernakulam,Kochi,5,11.5,32.5,8.1,21.8,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1163,Delhi,South Delhi,Delhi NCR,6,3.3,24.2,5.3,20.8,High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0704,Maharashtra,Pune,Pune,2,0.2,65.1,11.1,14.7,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Trichy Road Arterial (Singanallur - Ramanathapuram),Tamil Nadu,Coimbatore,Coimbatore,14,7.5,52.0,7.8,8.2,Very High,Moderate,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Palakkad - Pollachi State Highway Sector (SH-78),Tamil Nadu,Coimbatore,Pollachi,6,3.8,24.0,5.0,21.0,Medium,Moderate,Medium Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Pune Survey Corridor R-0536,Maharashtra,Pune,Pune,2,1.6,95.3,6.8,27.5,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0251,Delhi,South Delhi,Delhi NCR,4,3.3,37.3,3.9,30.0,Low,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-1021,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,8.8,1.2,17.2,Medium,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0784,Tamil Nadu,Madurai,Madurai,15,9.9,24.8,10.5,31.9,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1140,Andhra Pradesh,Visakhapatnam,Visakhapatnam,24,15.0,77.2,11.8,25.8,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0610,Telangana,Hyderabad,Hyderabad,28,7.3,56.3,9.5,27.3,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1149,Kerala,Ernakulam,Kochi,2,11.5,34.0,6.2,5.9,High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0155,Delhi,South Delhi,Delhi NCR,6,4.0,14.2,8.0,18.1,Low,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0962,Tamil Nadu,Chennai,Chennai,1,0.5,78.6,12.9,34.1,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kaloor - Kadavanthra Arterial Link,Kerala,Ernakulam,Kochi,15,8.0,55.0,8.8,3.9,High,Torrential,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Mumbai Survey Corridor R-1183,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,5.8,2.3,22.1,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0493,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,3.6,2.3,16.5,Very High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0466,Telangana,Hyderabad,Hyderabad,15,8.7,24.0,8.8,4.8,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0804,Andhra Pradesh,Visakhapatnam,Visakhapatnam,31,13.7,79.7,12.9,34.6,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0883,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,3.4,1.4,2.4,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0476,Maharashtra,Pune,Pune,0,0.0,98.6,8.5,1.0,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0752,Maharashtra,Pune,Pune,1,2.4,108.4,6.7,30.0,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0530,Tamil Nadu,Chennai,Chennai,2,0.4,100.1,5.0,15.2,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0294,Karnataka,Mysuru,Mysuru,22,9.6,111.2,12.2,21.2,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1043,Delhi,South Delhi,Delhi NCR,7,5.8,29.6,4.5,7.4,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0798,Karnataka,Mysuru,Mysuru,44,10.5,74.8,11.6,14.1,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0196,Tamil Nadu,Madurai,Madurai,14,9.2,37.8,12.8,25.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0231,Tamil Nadu,Salem,Salem,2,12.7,18.0,9.9,6.1,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
MG Road Commercial Corridor (Kadavanthra - Menaka Sector),Kerala,Ernakulam,Kochi,18,10.5,76.0,10.2,4.8,High,Torrential,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Visakhapatnam Survey Corridor R-0276,Andhra Pradesh,Visakhapatnam,Visakhapatnam,32,12.5,104.0,16.0,25.3,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0418,Telangana,Hyderabad,Hyderabad,12,9.1,48.4,11.0,17.0,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Old Madras Road Arterial (KR Puram),Karnataka,Bengaluru Urban,Bengaluru,7,4.0,28.0,5.0,6.5,High,Moderate,Medium Risk,IRC:82-2015 Specification Benchmark
Mysuru Survey Corridor R-0258,Karnataka,Mysuru,Mysuru,29,13.0,129.1,14.5,19.4,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0046,Telangana,Hyderabad,Hyderabad,14,13.8,24.5,8.4,7.5,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0828,Andhra Pradesh,Visakhapatnam,Visakhapatnam,40,12.5,94.9,14.8,21.0,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Ring Road (Uthangudi Sector),Tamil Nadu,Madurai,Madurai,20,10.2,75.0,11.0,9.5,High,Moderate,Critical Risk,IRC:82-2015 Specification Benchmark
Pune Survey Corridor R-1064,Maharashtra,Pune,Pune,2,1.1,80.5,16.0,17.1,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0153,Kerala,Ernakulam,Kochi,2,12.0,17.6,9.4,13.3,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0060,Andhra Pradesh,Visakhapatnam,Visakhapatnam,33,13.7,112.6,13.5,25.8,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0560,Maharashtra,Pune,Pune,3,1.4,42.8,11.1,22.8,Medium,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0608,Maharashtra,Pune,Pune,3,2.3,103.3,10.7,5.8,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0515,Delhi,South Delhi,Delhi NCR,6,2.5,12.2,4.8,32.5,Medium,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0012,Andhra Pradesh,Visakhapatnam,Visakhapatnam,38,14.3,137.2,14.9,10.4,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0350,Tamil Nadu,Chennai,Chennai,0,0.0,45.6,9.2,22.9,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0686,Tamil Nadu,Chennai,Chennai,1,2.8,86.3,14.5,29.0,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0948,Andhra Pradesh,Visakhapatnam,Visakhapatnam,22,17.4,76.4,16.4,26.1,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0498,Karnataka,Mysuru,Mysuru,18,14.5,83.3,11.7,6.2,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0372,Andhra Pradesh,Visakhapatnam,Visakhapatnam,42,17.5,137.4,11.5,1.7,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0892,Tamil Nadu,Madurai,Madurai,29,13.0,40.6,11.5,1.9,High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1134,Karnataka,Mysuru,Mysuru,44,12.0,92.2,10.4,17.9,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-1082,Tamil Nadu,Chennai,Chennai,0,0.0,92.2,11.8,31.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0549,Kerala,Ernakulam,Kochi,3,13.0,22.2,8.8,31.8,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0835,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,8.2,0.3,18.4,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0905,Karnataka,Bengaluru Urban,Bengaluru,6,4.7,24.5,6.3,8.5,Medium,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-1062,Karnataka,Mysuru,Mysuru,29,16.1,79.5,12.4,17.4,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0265,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,8.8,1.2,1.6,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0507,Tamil Nadu,Salem,Salem,3,11.7,21.4,6.0,2.5,Medium,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-1193,Karnataka,Bengaluru Urban,Bengaluru,7,5.5,18.0,3.6,12.1,Medium,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0256,Tamil Nadu,Madurai,Madurai,12,9.0,55.3,13.6,9.6,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0844,Tamil Nadu,Madurai,Madurai,21,11.9,28.8,11.5,33.1,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0862,Telangana,Hyderabad,Hyderabad,27,8.4,54.2,9.8,30.3,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
